Name,Area,City,Location,Longitude,Latitude,loc_cluster
An Endeavor,Seminary hills,Nagpur,https://goo.gl/maps/ZbaodQkhbHSAHEqG9,21.1734385,79.0514555,0
Nagpur Spca,Borgaon Road,Nagpur,https://goo.gl/maps/7dqejkjqsB8xYj1U6,21.1770627,79.0589626,0
Shree Bharti Didi Gaushala,Pardi,Nagpur,https://goo.gl/maps/bhFRuHZJV1qNXCeP7,21.1479897,79.1671341,4
Shrikrishna Gouseva Sanstha,Butibori,Nagpur,https://goo.gl/maps/b5r5sPF1SEfATp3GA,20.9428085,78.9841998,1
MatsyaVilla,Vishwakarma Nagar,Nagpur,https://goo.gl/maps/tsoTN42VKYDAi3W38,21.1231785,79.101654,2
Srushti Paryavaran Mandal,Dhantoli,Nagpur,https://goo.gl/maps/Nn5pYWXi7BieyA1D7,21.1320918,79.0773793,3
National Association For Welfare Of Animals And Research,Seminary Hills,Nagpur,https://goo.gl/maps/Rt9BZWC9TE43adtq9,21.1688575,79.0395833,0
Maheshwari Animal Welfare Foundation,Yashwant Nagar,Nagpur,https://goo.gl/maps/LCGdnBYurUMPCfheA,21.1310142,79.0531951,3
Sanskar Animal Aid,Ganeshpeth Colony,Nagpur,https://goo.gl/maps/BmkoBqMwn3jnEgNQ7,21.1310033,79.0570289,3
